r_angstrom,gamma23_mean,gamma23_sem
7.300000000000000711e+00,1.729069609893151949e+01,3.475737774589969797e-01
7.400000000000000355e+00,1.734045009746770205e+01,3.477644131538432659e-01
7.500000000000000000e+00,1.738922625411506928e+01,3.487994758990690114e-01
7.600000000000000533e+00,1.743089486326917026e+01,3.483305375274254878e-01
7.700000000000000178e+00,1.744277906962057045e+01,3.500351664260038520e-01
7.800000000000000711e+00,1.748133657919748885e+01,3.490918654410519739e-01
7.900000000000000355e+00,1.748940667737664967e+01,3.502703981626872909e-01
8.000000000000000000e+00,1.743973992694662911e+01,3.507536994582036716e-01
8.099999999999999645e+00,1.746172306644488259e+01,3.514396219961770096e-01
8.200000000000001066e+00,1.751405103640873406e+01,3.519629551588941974e-01
8.300000000000000711e+00,1.753242975894774602e+01,3.517325304734975067e-01
8.400000000000000355e+00,1.749847710155787794e+01,3.521853528236026376e-01
8.500000000000000000e+00,1.749628300617857946e+01,3.540674507561830664e-01
8.599999999999999645e+00,1.753373338419429928e+01,3.536195930588623138e-01
8.700000000000001066e+00,1.754093854977553590e+01,3.525687875206056643e-01
8.800000000000000711e+00,1.749581554682294282e+01,3.535071462785356888e-01
8.900000000000000355e+00,1.747014445069778432e+01,3.538167518589364069e-01
9.000000000000000000e+00,1.748894277352644266e+01,3.534065601213668972e-01
9.099999999999999645e+00,1.754109112401610204e+01,3.527658740280829042e-01
9.200000000000001066e+00,1.752188437266571341e+01,3.525585088613141793e-01
9.300000000000000711e+00,1.761358911669394445e+01,3.514107122268688710e-01
9.400000000000000355e+00,1.761163053506847476e+01,3.522410563880863377e-01
9.500000000000000000e+00,1.762195553723154973e+01,3.509317272337283411e-01
9.600000000000001421e+00,1.768579315394183382e+01,3.497786990967420850e-01
9.700000000000001066e+00,1.774115200925180247e+01,3.504419313530734437e-01
9.800000000000000711e+00,1.776427552093210238e+01,3.505212122310287226e-01
9.900000000000000355e+00,1.783971608511822993e+01,3.516465450501977119e-01
1.000000000000000000e+01,1.787017884630869702e+01,3.525252823657682444e-01
1.010000000000000142e+01,1.787722432610531698e+01,3.523303641855546897e-01
1.020000000000000107e+01,1.787397126756788879e+01,3.518318615679261741e-01
1.030000000000000071e+01,1.786905490975217603e+01,3.523343398811742966e-01
1.040000000000000036e+01,1.788774236314910482e+01,3.525381324164014729e-01
1.050000000000000000e+01,1.790408595063077968e+01,3.512783788383684880e-01
1.060000000000000142e+01,1.789793070858848623e+01,3.498780661676078596e-01
1.070000000000000107e+01,1.793775068053765764e+01,3.506344070914736433e-01
1.080000000000000071e+01,1.801931251994393790e+01,3.483459159352882972e-01
1.090000000000000036e+01,1.804535263644842402e+01,3.469063390284423121e-01
1.100000000000000000e+01,1.805014585283209172e+01,3.469139598690441639e-01
1.110000000000000142e+01,1.806311979634721965e+01,3.462364386524340309e-01
1.120000000000000107e+01,1.812958170000909064e+01,3.470861177994785662e-01
1.130000000000000071e+01,1.817719890553281914e+01,3.462929171366229131e-01
1.140000000000000036e+01,1.819777257621156963e+01,3.459949406864981092e-01
1.150000000000000000e+01,1.819486006104864018e+01,3.466734679035043953e-01
1.160000000000000142e+01,1.821296068050334327e+01,3.461446923290303901e-01
1.170000000000000107e+01,1.823498733137990158e+01,3.467474945230038519e-01
1.180000000000000071e+01,1.828032821701587807e+01,3.465622567062019987e-01
1.190000000000000036e+01,1.832952250120454707e+01,3.470964824982192831e-01
1.200000000000000000e+01,1.843027192517651258e+01,3.461879400046288247e-01
1.210000000000000142e+01,1.849176663337970083e+01,3.459844425847959926e-01
1.220000000000000107e+01,1.853795919471638598e+01,3.478327781702183485e-01
1.230000000000000071e+01,1.861667160426639711e+01,3.470910584600638837e-01
1.240000000000000036e+01,1.862719547842166534e+01,3.490624021986695746e-01
1.250000000000000000e+01,1.873744399567726759e+01,3.488900045593948396e-01
1.260000000000000142e+01,1.879904116514572010e+01,3.485571548023145838e-01
1.270000000000000107e+01,1.883020249329014106e+01,3.482503850876416118e-01
1.280000000000000071e+01,1.892321091635265162e+01,3.482621011350163776e-01
1.290000000000000036e+01,1.895729717759943966e+01,3.482390429485731076e-01
1.300000000000000000e+01,1.897308704338129814e+01,3.478276199019775250e-01
1.310000000000000142e+01,1.900990159037526439e+01,3.492828889706602880e-01
1.320000000000000107e+01,1.906644747614256730e+01,3.487464638039480258e-01
1.330000000000000071e+01,1.916652727009416779e+01,3.479167956073547785e-01
1.340000000000000036e+01,1.920522359712464322e+01,3.496495234914734351e-01
1.350000000000000000e+01,1.925541036622810154e+01,3.513068743597654864e-01
1.360000000000000142e+01,1.933503446624519384e+01,3.500142837558139486e-01
1.370000000000000107e+01,1.943439231975170145e+01,3.493168068229143275e-01
1.380000000000000071e+01,1.946129377932575721e+01,3.482359808737685025e-01
1.390000000000000036e+01,1.950911315583267225e+01,3.484134012518526613e-01
1.400000000000000000e+01,1.952318799237492186e+01,3.505251023150076639e-01
1.410000000000000142e+01,1.954477626775830146e+01,3.508551710827530479e-01
1.420000000000000107e+01,1.958180449629698572e+01,3.520214737933259896e-01
1.430000000000000071e+01,1.959969519232674529e+01,3.504304495226406857e-01
1.440000000000000036e+01,1.971107072734487176e+01,3.502761250340103993e-01
1.450000000000000000e+01,1.974131256556180958e+01,3.503464060726161899e-01
1.460000000000000142e+01,1.979914357282448378e+01,3.504104710111767274e-01
1.470000000000000107e+01,1.981939086781354220e+01,3.500141935494274770e-01
1.480000000000000071e+01,1.995603431887831292e+01,3.500716056279953303e-01
