==========================================================
PIC calculation: SUC
Job: 149   Node: gen-queue-spot-dy-m8i-96xl-1   Started: Wed Jul  1 10:54:20 AM EDT 2026
GRO: aav1/md/md.gro
XTC: aav1/md/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 4
10:54:52 [rank  32] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   7] INFO assigned 1 frames (local index 7:8)
10:54:52 [rank  32] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  19] INFO assigned 1 frames (local index 19:20)
10:54:52 [rank  11] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   2] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  11] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  11] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   2] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   2] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   9] INFO assigned 1 frames (local index 9:10)
10:54:52 [rank  26] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  42] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  39] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  33] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  21] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  40] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  32] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  40] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  40] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  11] INFO assigned 1 frames (local index 11:12)
10:54:52 [rank   2] INFO assigned 1 frames (local index 2:3)
10:54:52 [rank  30] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  30] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  30] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  40] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  25] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  25] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  25] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  30] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  25] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  18] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  18] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  18] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  18] INFO assigned 1 frames (local index 18:19)
10:57:31 [rank  14] INFO processed 1/1 local frames (global frame 14)
10:57:33 [rank   2] INFO processed 1/1 local frames (global frame 2)
10:57:37 [rank   0] INFO processed 1/1 local frames (global frame 0)
10:57:44 [rank   3] INFO processed 1/1 local frames (global frame 3)
10:57:45 [rank   1] INFO processed 1/1 local frames (global frame 1)
10:57:45 [rank   4] INFO processed 1/1 local frames (global frame 4)
10:57:46 [rank  10] INFO processed 1/1 local frames (global frame 10)
10:57:46 [rank   5] INFO processed 1/1 local frames (global frame 5)
10:57:47 [rank  12] INFO processed 1/1 local frames (global frame 12)
10:57:47 [rank  11] INFO processed 1/1 local frames (global frame 11)
10:57:47 [rank  16] INFO processed 1/1 local frames (global frame 16)
