r_angstrom,s30mM_1pct_pH6_gamma23_mean,s30mM_1pct_pH6_SE_raw,s30mM_1pct_pH6_SE_corrected_x8.5,s30mM_1pct_pH8_gamma23_mean,s30mM_1pct_pH8_SE_raw,s30mM_1pct_pH8_SE_corrected_x8.5,s30mM_10pct_pH6_gamma23_mean,s30mM_10pct_pH6_SE_raw,s30mM_10pct_pH6_SE_corrected_x8.5,s30mM_10pct_pH8_gamma23_mean,s30mM_10pct_pH8_SE_raw,s30mM_10pct_pH8_SE_corrected_x8.5,s200mM_1pct_pH6_gamma23_mean,s200mM_1pct_pH6_SE_raw,s200mM_1pct_pH6_SE_corrected_x8.5,s200mM_1pct_pH8_gamma23_mean,s200mM_1pct_pH8_SE_raw,s200mM_1pct_pH8_SE_corrected_x8.5,s200mM_10pct_pH6_gamma23_mean,s200mM_10pct_pH6_SE_raw,s200mM_10pct_pH6_SE_corrected_x8.5,s200mM_10pct_pH8_gamma23_mean,s200mM_10pct_pH8_SE_raw,s200mM_10pct_pH8_SE_corrected_x8.5
5.4,9.00435,0.44470,3.77991,-0.67034,0.23413,1.99014,1.04713,2.02991,17.25427,-50.30719,1.84108,15.64915,5.29108,0.32026,2.72224,-3.29974,0.24063,2.04538,27.07757,2.31076,19.64150,-39.64784,1.62624,13.82302
5.5,8.97153,0.44750,3.80377,-0.73372,0.23406,1.98955,0.65247,2.04290,17.36463,-51.01203,1.85294,15.74997,5.23643,0.32271,2.74302,-3.36129,0.24174,2.05478,26.71848,2.32445,19.75785,-40.22683,1.63176,13.86996
5.6,8.90067,0.44936,3.81953,-0.85281,0.23581,2.00439,0.22384,2.05666,17.48163,-51.82442,1.86494,15.85195,5.18140,0.32380,2.75230,-3.40627,0.24224,2.05908,26.20046,2.33542,19.85109,-40.90672,1.63427,13.89134
5.7,8.84179,0.45231,3.84468,-0.92606,0.23773,2.02067,0.10550,2.07109,17.60425,-52.58025,1.88212,15.99799,5.13347,0.32551,2.76682,-3.54742,0.24344,2.06923,25.88218,2.34362,19.92075,-41.37530,1.64136,13.95158
5.8,8.80543,0.45555,3.87219,-1.02501,0.23838,2.02620,-0.14310,2.08353,17.71001,-53.26941,1.89550,16.11175,5.05705,0.32779,2.78621,-3.62851,0.24374,2.07181,25.51523,2.34970,19.97243,-41.96179,1.65144,14.03721
5.9,8.80888,0.45727,3.88678,-1.11341,0.24037,2.04317,-0.27301,2.09880,17.83983,-53.92975,1.90831,16.22059,4.97076,0.32814,2.78915,-3.70442,0.24391,2.07326,25.21484,2.35971,20.05756,-42.43821,1.65568,14.07324
6.0,8.73773,0.45895,3.90105,-1.20683,0.24143,2.05214,-0.51129,2.10868,17.92374,-54.61302,1.91955,16.31620,4.91471,0.32887,2.79542,-3.76050,0.24443,2.07767,24.89496,2.36815,20.12929,-42.87956,1.66335,14.13849
6.1,8.72522,0.46253,3.93147,-1.22011,0.24309,2.06624,-0.68571,2.11788,18.00197,-55.19990,1.93039,16.40828,4.84858,0.32962,2.80178,-3.84047,0.24528,2.08486,24.52411,2.37524,20.18956,-43.35000,1.67244,14.21576
6.2,8.67637,0.46475,3.95040,-1.26474,0.24357,2.07034,-0.62844,2.12920,18.09819,-55.76753,1.94069,16.49584,4.80940,0.33080,2.81181,-3.88831,0.24698,2.09937,24.30993,2.38254,20.25159,-43.71297,1.67714,14.25570
6.3,8.64450,0.46713,3.97058,-1.32766,0.24571,2.08857,-0.68160,2.14303,18.21573,-56.32177,1.95535,16.62045,4.71932,0.33188,2.82097,-3.96722,0.24760,2.10463,24.18576,2.39291,20.33978,-44.08122,1.68433,14.31683
6.4,8.63498,0.46874,3.98432,-1.42177,0.24665,2.09652,-0.67698,2.15566,18.32311,-56.66782,1.96426,16.69618,4.70367,0.33273,2.82816,-4.07788,0.24727,2.10180,24.04837,2.39801,20.38306,-44.41630,1.68795,14.34759
6.5,8.59869,0.47036,3.99804,-1.49345,0.24878,2.11467,-0.79550,2.16585,18.40972,-57.24768,1.97317,16.77194,4.62477,0.33542,2.85111,-4.18358,0.24835,2.11099,23.86831,2.40594,20.45052,-44.53154,1.69197,14.38177
6.6,8.54114,0.47269,4.01789,-1.54906,0.25073,2.13120,-0.64448,2.17335,18.47345,-57.82596,1.98415,16.86528,4.50200,0.33685,2.86322,-4.31026,0.24914,2.11767,23.65140,2.41231,20.50459,-44.84515,1.69469,14.40488
6.7,8.53526,0.47639,4.04934,-1.62286,0.25160,2.13862,-0.49592,2.18499,18.57240,-58.20161,1.99663,16.97133,4.46407,0.33797,2.87276,-4.38834,0.24790,2.10719,23.60485,2.42371,20.60154,-45.18841,1.70198,14.46684
6.8,8.49102,0.47872,4.06911,-1.71517,0.25233,2.14477,-0.48145,2.20192,18.71635,-58.55033,2.00667,17.05669,4.38756,0.33922,2.88338,-4.45324,0.24948,2.12057,23.45212,2.43204,20.67237,-45.58233,1.70824,14.52005
6.9,8.42821,0.48179,4.09520,-1.80682,0.25187,2.14093,-0.33503,2.21197,18.80174,-58.89903,2.01576,17.13395,4.31299,0.33981,2.88842,-4.51068,0.25183,2.14054,23.21672,2.43825,20.72514,-45.75807,1.71537,14.58065
7.0,8.39368,0.48441,4.11745,-1.86738,0.25175,2.13991,-0.24024,2.22259,18.89203,-59.19426,2.02239,17.19032,4.24745,0.33981,2.88837,-4.60937,0.25245,2.14582,22.86477,2.44462,20.77923,-45.99339,1.72330,14.64808
7.1,8.32421,0.48642,4.13455,-1.95755,0.25271,2.14807,-0.17381,2.22801,18.93809,-59.74850,2.02902,17.24667,4.16858,0.33976,2.88799,-4.70047,0.25372,2.15658,22.69165,2.45357,20.85532,-46.21859,1.72703,14.67979
7.2,8.32619,0.48885,4.15527,-2.06956,0.25402,2.15916,-0.01864,2.23921,19.03328,-60.15256,2.04412,17.37505,4.09878,0.33980,2.88833,-4.75964,0.25451,2.16334,22.47306,2.46087,20.91737,-46.67648,1.73620,14.75770
