distance_from_surface_A,pH6_30mM_1pct,pH6_30mM_10pct,pH6_30mM_12pct,pH6_110mM_8pct,pH6_200mM_1pct,pH6_200mM_10pct,pH7.3_30mM_12pct,pH7.3_170mM_5pct,pH8_30mM_1pct,pH8_30mM_10pct,pH8_200mM_1pct,pH8_200mM_10pct
1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.025,0.0,0.002,0.0,0.0,0.004,0.0,0.0,0.002,0.004,0.006,0.008,0.008
2.075,0.002,0.006,0.002,0.016,0.038,0.05,0.046,0.094,0.122,0.224,0.321,0.263
2.125,0.022,0.048,0.052,0.144,0.343,0.435,0.409,0.892,1.491,1.609,2.655,2.126
2.175,0.138,0.232,0.178,0.719,1.537,1.852,2.042,4.104,6.261,6.96,12.086,9.581
2.225,0.459,0.591,0.523,2.07,4.409,4.988,5.814,11.838,17.068,18.93,33.96,26.363
2.275,0.936,1.196,1.134,4.136,8.735,9.844,11.501,23.541,33.076,36.275,65.862,51.992
2.325,1.503,1.79,1.858,6.519,13.417,15.158,17.776,37.092,49.449,54.172,99.032,79.786
2.375,2.004,2.385,2.561,8.782,17.752,19.834,23.142,48.976,63.255,69.068,125.591,102.591
