r_A,pH6_200_10_3F,pH6_200_10_3F_sem,pH6_200_10_5F,pH6_200_10_5F_sem,pH6_30_12_3F,pH6_30_12_3F_sem,pH6_30_12_5F,pH6_30_12_5F_sem,pH6_110_8_3F,pH6_110_8_3F_sem,pH6_110_8_5F,pH6_110_8_5F_sem,pH73_170_5_3F,pH73_170_5_3F_sem,pH73_170_5_5F,pH73_170_5_5F_sem
5.9,-0.07572676705521122,0.002701520809616843,-0.032672207171458856,0.007238816946850637,-0.10123435578940326,0.0028961284748051956,-0.09120089387783543,0.006929143599143168,-0.06456691683671147,0.0020010459314023146,0.03130111827210089,0.006915894417173148,-0.036973907569584824,0.0016465945441832043,-0.028897808358337693,0.004169569321002052
6.0,-0.07712955071670995,0.002766987002657519,-0.0325822902232722,0.007383646613458678,-0.10316589568784605,0.0029674412827134823,-0.09278897120323494,0.00706865568053166,-0.06573116252388259,0.002048535424234946,0.033392661468362235,0.007052724877405767,-0.03764154320951394,0.0016861256314082444,-0.029203024976738153,0.004260980063452549
6.1000000000000005,-0.07849323987329072,0.0028340215893818423,-0.03228555469197737,0.007535956007276796,-0.10494484180909246,0.0030410721065803744,-0.09406022175112859,0.007208576914906921,-0.06682758216462163,0.0020975650037463045,0.03552203101785652,0.007190324555352024,-0.03824985430126769,0.001726690492189412,-0.02936637215526369,0.004356250658737494
6.2,-0.07981924854484371,0.0029023524848302835,-0.03195803044430331,0.007689016218541721,-0.10670290872094434,0.0031169116728113327,-0.0952778574973374,0.007353156045752973,-0.06786762505544687,0.0021475559717523177,0.037768657261027745,0.0073303119564677366,-0.0388606589975966,0.0017677119516427034,-0.02959314524344074,0.00445232066566015
6.300000000000001,-0.08103518031600296,0.0029730100973405634,-0.031612377595129755,0.00784491004220285,-0.10842417914139585,0.0031937647083987077,-0.09649173328358586,0.007497793575128846,-0.06888119828289262,0.00219843068863656,0.040162836208558796,0.007474022196759189,-0.039425619551694706,0.0018097829319536627,-0.02978849891062057,0.004551550220615304
6.4,-0.08219230692822554,0.003046592714457599,-0.031024287004559885,0.008002814388162053,-0.11007129407656555,0.003272646590500415,-0.0976486350372741,0.007646379913608773,-0.06986156473356538,0.002250786138253809,0.042630806695250135,0.0076198390850379764,-0.03999749254694628,0.001852436355593837,-0.02995977485341046,0.004649636632364426
6.5,-0.08337270841001602,0.003121232431037253,-0.030396971417978723,0.008164189191703764,-0.11168007123840869,0.0033530262427694992,-0.09881346390660875,0.007794289718410894,-0.07077824692006436,0.002304752275101935,0.04520638572100087,0.007766529143237452,-0.040532329905610655,0.0018963861155742638,-0.030078524787138843,0.0047492670379796565
6.6000000000000005,-0.08451366051590169,0.003197001834215185,-0.029418746043848015,0.008330506753166711,-0.11327748235444168,0.003434417260328023,-0.09995210689291699,0.00794498573684753,-0.07168702550261927,0.0023588756992749837,0.048052854405123815,0.007918686407505033,-0.04105322817073081,0.0019411070077259606,-0.030208522739300206,0.004847267047745552
6.7,-0.08562539955878759,0.00327400833025421,-0.028522850359583202,0.008501923603243186,-0.11487560392189748,0.0035167211851542205,-0.10108530798290033,0.008101185719823501,-0.07261372449203995,0.0024130804803708427,0.05087377105829244,0.008070452386304073,-0.04153680892881437,0.001986903300575248,-0.030363191264155563,0.004946286461785359
6.800000000000001,-0.08675070815019659,0.0033519735934062255,-0.027583811805884886,0.008673596148711302,-0.11634355961376552,0.003601433532420676,-0.10209448971231529,0.008259757279943995,-0.07349369573218274,0.0024687389229551913,0.05376987577521791,0.008222469440806911,-0.041998008440576114,0.0020336915529673904,-0.03049846456632234,0.005045029493850607
